X,strain,pHMM
5955,Bacteroides-ovatus-ATCC-8483-MAF-2,tnaA
5956,Bacteroides-rodentium-JCM-16496-MAF-2,tnaA
5957,Bacteroides-sp-D2-MAF-2,tnaA
5958,Bacteroides-stercoris-ATCC-43183-MAF-2,tnaA
5959,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,tnaA
5960,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,tnaA
5961,Bacteroides-uniformis-ATCC-8492-MAF-2,tnaA
5962,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,tnaA
5963,Bacteroides_ovatus,tnaA
5964,Bacteroides_thetaiotaomicron,tnaA
5965,Butyricimonas-virosa-DSM-23226-MAF-2,tnaA
5966,Enterocloster-asparagiformis-DSM-15981-MAF-2,tnaA
5967,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,tnaA
5968,Escherichia_coli,tnaA
5969,Tyzzerella-nexilis-DSM-1787-MAF-2,tnaA
